Project,Total_Tests,Original_Failed,Chaosi_Failed,Flaky_Tests,TP,new_TP,non_od_flaky,non_od_flaky_tp,FP_without_locale,od_tests,config_only_date_bk-flakeflagger,config_only_sleep_increase-flakeflagger,config_only_sleep_decrease-flakeflagger,config_only_time_round-flakeflagger,config_only_socket_0.1-flakeflagger,config_only_random_min-flakeflagger,config_only_random_max-flakeflagger,config_only_date_relative-flakeflagger,config_only_sleep_random-flakeflagger,config_only_random_fix-flakeflagger,config_only_time_relative-flakeflagger,config_only_locale_fix-flakeflagger,config_only_time_increment-flakeflagger,config_only_fix_date-flakeflagger,config_only_clock_plus-flakeflagger,config_only_httpdrop-flakeflagger,config_only_zone_fix-flakeflagger,config_only_time_zero-flakeflagger,config_only_time_same-flakeflagger,random_group,date_group,sleep_group,time_group,zone_group,socket_group,clock_group,locale_group
kevinsawicki-http-request,164,0->0,16,18,10,10,0,0,0,28->18->12->8,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,16->10->0->0,0->0,0->0,0->0,0->0,0->0,0->0,0->0,0->0
joel-costigliola-assertj-core,6267,0->0,27,1,1,1,0,0,9,1->1->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,6->0->0->0,1->1->0->0,0->0->0->0,1->0->0->0,17->0->17->0,2->0->2->0,7->1->0->0,0->0->0->0,1->1->0->0,0->0->0->0,1->0->0->0,1->0->0->0,0->0,0->0,0->0,2->0,0->0,0->0,0->0,17->0
zxing-zxing,345,0->0,1,2,1,1,1,1,0,1->1->1->1,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,1->1->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,1->1->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0,0->0,0->0,0->0,0->0,0->0,0->0,0->0
apache-httpcore,707,1->0,38,22,18,18,22,18,19,0->0->0->0,0->0->0->0,0->0->0->0,3->1->0->0,5->3->1->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,3->0->0->0,0->0->0->0,31->16->27->15,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,9->3->0->0,9->3->0->0,0->0,0->0,0->0,32->17,0->0,0->0,0->0,0->0
hector-client-hector,100,16->0,17,33,2,2,0,0,0,83->33->78->31,5->2->0->0,4->1->0->0,3->0->0->0,3->0->0->0,4->1->0->0,4->1->0->0,4->1->0->0,5->2->0->0,4->1->0->0,5->2->0->0,3->0->0->0,4->1->0->0,5->2->0->0,4->1->0->0,5->2->0->0,3->0->0->0,3->0->0->0,4->1->0->0,4->1->0->0,0->0,0->0,0->0,0->0,0->0,0->0,0->0,0->0
ninjaframework-ninja,307,0->0,3,1,1,1,1,1,2,3->0->3->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,1->0->0->0,1->0->0->0,0->0->0->0,1->1->0->0,1->0->0->0,1->1->0->0,1->1->0->0,1->0->1->0,1->1->0->0,1->1->0->0,0->0->0->0,0->0->0->0,1->1->0->0,1->1->0->0,1->0,0->0,0->0,1->0,0->0,0->0,0->0,0->0
doanduyhai-Achilles,1318,0->0,348,4,3,3,4,3,1,0->0->0->0,0->0->0->0,0->0->0->0,7->2->0->0,0->0->0->0,0->0->0->0,1->0->1->0,0->0->0->0,0->0->0->0,1->0->0->0,0->0->0->0,0->0->0->0,347->3->337->1,3->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,1->0,0->0,0->0,0->0,0->0,0->0,0->0,337->1
elasticjob-elastic-job-lite,567,0->0,43,3,3,3,3,3,40,3->0->2->0,0->0->0->0,1->0->0->0,1->0->0->0,1->1->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,1->0->0->0,0->0->0->0,25->1->3->0,0->0->0->0,23->0->7->0,2->2->2->2,0->0->0->0,0->0->0->0,0->0->0->0,20->1->3->0,7->1->1->0,0->0,2->2,1->0,15->0,0->0,0->0,0->0,0->0
qos-ch-logback,863,0->0,45,22,8,8,16,7,21,51->6->45->5,0->0->0->0,4->1->0->0,4->4->1->1,7->3->0->0,0->0->0->0,4->1->0->0,4->1->0->0,2->0->0->0,4->1->0->0,3->1->0->0,5->2->0->0,16->0->16->0,11->3->2->0,2->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,10->4->0->0,9->4->0->0,4->1,0->0,4->1,7->1,0->0,0->0,0->0,16->0
jknack-handlebars.java,544,1->0,7,1,1,1,1,1,1,0->0->0->0,1->1->0->0,0->0->0->0,1->1->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,2->1->0->0,1->1->0->0,0->0->0->0,0->0->0->0,4->0->4->0,0->0->0->0,2->1->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0,0->0,0->0,0->0,0->0,0->0,0->0,4->0
apache-commons-exec,55,0->0,5,1,1,1,1,1,4,0->0->0->0,0->0->0->0,0->0->0->0,5->1->5->1,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0,0->0,5->1,0->0,0->0,0->0,0->0,0->0
wro4j-wro4j,1163,1->1,16,17,13,12,16,12,3,2->1->0->0,0->1->0->0,4->3->0->0,0->1->0->0,9->9->0->0,0->1->0->0,1->2->0->0,2->3->0->0,0->1->0->0,14->12->1->0,0->1->0->0,0->0->0->0,1->2->0->0,3->3->0->0,1->2->0->0,8->9->0->0,2->3->0->0,8->9->0->0,2->2->0->0,10->10->0->0,0->0,0->0,2->0,1->1,0->0,0->0,0->0,0->0
tootallnate-java-websocket,146,6->5,18,23,17,13,21,15,0,2->2->0->0,0->2->0->0,1->1->0->0,2->2->0->0,3->3->0->0,3->4->0->0,2->2->0->0,3->4->1->1,1->1->0->0,3->3->0->0,2->2->0->0,3->3->0->0,1->2->0->0,2->2->0->0,2->2->1->1,2->2->1->1,2->2->0->0,1->2->0->0,4->5->0->0,1->1->0->0,1->1,1->1,0->0,0->0,1->1,0->0,1->1,1->1
google-jimfs,212,0->0,0,0,0,0,0,0,0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0->0->0,0->0,0->0,0->0,0->0,0->0,0->0,0->0,0->0
sum,12758,25,584,148,79,74,86,62,100
